"494","5;2","0"
"494","4;4","1"
"494","1,2,3,4,5;3","3"
"494","5,5,5;2","0"
"494","1,2,2;3","1"
"494","3,2,3;3","0"
"494","1,-1,-3,-2,3;3;2","0"
"494","-1,-2,-3,-4,-5;2;2","0"
"494","-3,1,2,-3,0,-3;2;1","6"
"494","15;5 ","0"
"494","13;11","0"
"494","12,9;1","0"
"494","8,1,2;2","0"
"494","4;0;1,2;4","0"
"494","5;0;2,4;3","0"
"494","4;2;0,1,3;1","0"
"494","10,1,2,7,1,3;2","5"
"494","4,2,1,2;1","2"
"494","2,9,6,3;10","1"
"494","3;2;0;2","0"
"494","3;2;0;4","0"
"494","998244353;3","0"
"494","1010;10","0"
"494","1;5;2,0,0,3,0,0","0"
"494","0,1,7,4,4,5;3;6","6"
"494","1,7,9,2,5;11;11","0"
"494","2,4,6;2","0"
"494","1;1","1"
"494","25,64,9,4,100;4","0"
"494","1,1,1,1;4","1"
"494","2,3,5,9;2","0"
"494","2,7,9,3,1;2","3"
"494","1,3,5,1;2","2"
"494","1;2","0"
"494","1,1,2,2,3,3,5;2","0"
"494","1,2,3,4;0","2"
"494","1,4,1,3;2","0"
"494","2,5,5,7;3","0"
"494","4,2,3,1;10","1"
"494","5,1,8;6","0"
"494","20;3","0"
"494","16;2","0"
"494","1,-10,7,13,6,8;5","2"
"494","1,-10,7,13,6,8;7","2"
"494","5,8,9,2,1,3,7,4,6;2","0"
"494","4;5","0"
"494","3;2","0"
"494","1;3;1,1,2,1,1,1,3,1,1,1,4,1","0"
"494","3;2;1,9,1,8,10,10,10,10","0"
"494","1,6,5;5;6","0"
"494","1,2,3,4,5,6,7;8;1","7"
"494","11;7;50","0"
"494","6;9","0"
"494","4;7","0"
"494","1,2,1,2,1,3,3;2","0"
"494","1,2,1,2,1;2","0"
"494","1,2,1,2,1;5","3"
"494","1010;0110","0"
"494","11;00","0"
"494","10,6,9,1,7,5,11,2,4,8,3,15;2","0"
"494","3,4,5,6;0","2"
"494","2;7;1;3","0"
"494","3;5;2;1","0"
"494","2;4;8;2","0"
"494","1,1,1,1,1;10","0"
"494","3,1,4,3,2,2,4;2","0"
"494","1000;35;700;300","0"
"494","200;50;800;50","0"
"494","1,2,4,5,0;1;2","0"
"494","4,4,4,4;0;3","6"
"494","10,10,10,10,10;5","0"
"494","1,10,3,3,3;3","0"
"494","10;19","0"
"494","4;6","0"
"494","1,2,3,4;4","2"
"494","3,3,3;4","0"
"494","6,6;2","0"
"494","13,5,1,8,21,2;3","0"
"494","1,3,1;2","0"
"494","7,7,7,7;2","0"
"494","5,2,1,1,1,2;3","0"
"494","3,2,1,4,5;4","0"
"494","2,3,1;3","0"
"494","3312958;3;1","0"
"494","0,1,0,2,0,3;5","0"
"494","3,1,3,2,1,0,0,4,0,5,4,6;2","0"
"494","0,1,1,2,1,3,3,4;3;-2,4,2,-4,6","26"
"494","0,1;1;-7280,2350","2"
"494","3;3;1;1","1"
"494","2;3;1;2","0"
"494","3,6,2,7,1;6","0"
"494","3;2","0"
"494","17,12,10,2,7,2,11,20,8;3;4","9"
"494","1,2,4,1;3;3","0"
